Model Type,Augmentation,Ensemble Size,Method,Accuracy,F1_Score
CNN,No,2,SoftVote_TTA_1,80.80000000000001,80.48162228843086
CNN,No,2,SoftVote_TTA_2,81.52857142857142,81.1871256820462
CNN,No,2,SoftVote_TTA_3,81.37142857142857,80.96145318781153
CNN,No,2,SoftVote_TTA_4,81.05714285714286,80.61020656432166
CNN,No,2,HardVoting,78.21428571428571,77.99693966448459
CNN,No,3,SoftVote_TTA_1,81.28571428571428,80.93771168424841
CNN,No,3,SoftVote_TTA_2,81.89999999999999,81.53439280318898
CNN,No,3,SoftVote_TTA_3,81.82857142857142,81.41782473105505
CNN,No,3,SoftVote_TTA_4,81.64285714285714,81.16059176259593
CNN,No,3,HardVoting,80.71428571428572,80.40041630362569
CNN,No,4,SoftVote_TTA_1,81.25714285714287,80.9071645375139
CNN,No,4,SoftVote_TTA_2,81.84285714285714,81.4801888936487
CNN,No,4,SoftVote_TTA_3,81.81428571428572,81.40163009006068
CNN,No,4,SoftVote_TTA_4,81.65714285714286,81.17360386934578
CNN,No,4,HardVoting,80.07142857142857,79.85156370897502
CNN,No,5,SoftVote_TTA_1,81.25714285714287,80.9071645375139
CNN,No,5,SoftVote_TTA_2,81.88571428571429,81.52170760070517
CNN,No,5,SoftVote_TTA_3,81.81428571428572,81.40163009006068
CNN,No,5,SoftVote_TTA_4,81.65714285714286,81.17360386934578
CNN,No,5,HardVoting,80.04285714285714,79.79421194672216
